时间/h,药材半径/cm
30.16666667,1.20100000
30.18333333,1.20100000
30.20000000,1.20100000
30.21666667,1.20100000
30.23333333,1.20100000
30.25000000,1.20100000
30.26666667,1.20100000
30.28333333,1.20100000
30.30000000,1.20100000
30.31666667,1.20100000
30.33333333,1.20100000
30.35000000,1.20100000
30.36666667,1.20100000
30.38333333,1.20100000
30.40000000,1.20100000
30.41666667,1.20100000
30.43333333,1.20100000
30.45000000,1.20100000
30.46666667,1.20100000
30.48333333,1.20100000
30.50000000,1.20100000
30.51666667,1.20100000
30.53333333,1.20100000
30.55000000,1.20100000
30.56666667,1.20100000
30.58333333,1.20100000
30.60000000,1.20100000
30.61666667,1.20100000
30.63333333,1.20100000
30.65000000,1.20100000
30.66666667,1.20100000
30.68333333,1.20100000
30.70000000,1.20100000
30.71666667,1.20100000
30.73333333,1.20100000
30.75000000,1.20100000
30.76666667,1.20100000
30.78333333,1.20100000
30.80000000,1.20100000
30.81666667,1.20100000
30.83333333,1.20100000
30.85000000,1.20100000
30.86666667,1.20100000
30.88333333,1.20100000
30.90000000,1.20100000
30.91666667,1.20100000
30.93333333,1.20100000
30.95000000,1.20100000
30.96666667,1.20100000
30.98333333,1.20100000
31.00000000,1.20100000
31.01666667,1.20100000
31.03333333,1.20100000
31.05000000,1.20100000
31.06666667,1.20100000
31.08333333,1.20100000
31.10000000,1.20100000
31.11666667,1.20100000
31.13333333,1.20100000
31.15000000,1.20100000
31.16666667,1.20100000
31.18333333,1.20100000
31.20000000,1.20100000
31.21666667,1.20100000
31.23333333,1.20100000
31.25000000,1.20100000
31.26666667,1.20100000
31.28333333,1.20100000
31.30000000,1.20100000
31.31666667,1.20100000
31.33333333,1.20100000
31.35000000,1.20100000
31.36666667,1.20100000
31.38333333,1.20100000
31.40000000,1.20100000
31.41666667,1.20100000
31.43333333,1.20100000
31.45000000,1.20100000
31.46666667,1.20100000
31.48333333,1.20100000
31.50000000,1.20100000
31.51666667,1.20100000
31.53333333,1.20100000
31.55000000,1.20100000
31.56666667,1.20100000
31.58333333,1.20100000
31.60000000,1.20100000
31.61666667,1.20100000
31.63333333,1.20100000
31.65000000,1.20100000
31.66666667,1.20100000
31.68333333,1.20100000
31.70000000,1.20100000
31.71666667,1.20100000
31.73333333,1.20100000
31.75000000,1.20100000
31.76666667,1.20100000
31.78333333,1.20100000
31.80000000,1.20100000
31.81666667,1.20100000
31.83333333,1.20100000
31.85000000,1.20100000
31.86666667,1.20100000
31.88333333,1.20100000
31.90000000,1.20100000
31.91666667,1.20100000
