时间/h,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
0.00000000,1.26621167,28.00000000,2.55000000
0.00000000,1.27291291,28.00000000,2.55000000
0.00000000,1.27959362,28.00000000,2.55000000
0.00000000,1.28625375,28.00000000,2.55000000
0.00000000,1.29289322,28.00000000,2.55000000
0.00000000,1.29951198,28.00000000,2.55000000
0.00000000,1.30610995,28.00000000,2.55000000
0.00000000,1.31268708,28.00000000,2.55000000
0.00000000,1.31924330,28.00000000,2.55000000
0.00000000,1.32577853,28.00000000,2.55000000
0.00000000,1.33229272,28.00000000,2.55000000
0.00000000,1.33878580,28.00000000,2.55000000
0.00000000,1.34525768,28.00000000,2.55000000
0.00000000,1.35170832,28.00000000,2.55000000
0.00000000,1.35813763,28.00000000,2.55000000
0.00000000,1.36454554,28.00000000,2.55000000
0.00000000,1.37093199,28.00000000,2.55000000
0.00000000,1.37729690,28.00000000,2.55000000
0.00000000,1.38364019,28.00000000,2.55000000
0.00000000,1.38996180,28.00000000,2.55000000
0.00000000,1.39626165,28.00000000,2.55000000
0.00000000,1.40253966,28.00000000,2.55000000
0.00000000,1.40879575,28.00000000,2.55000000
0.00000000,1.41502986,28.00000000,2.55000000
0.00000000,1.42124190,28.00000000,2.55000000
0.00000000,1.42743179,28.00000000,2.55000000
0.00000000,1.43359946,28.00000000,2.55000000
0.00000000,1.43974482,28.00000000,2.55000000
0.00000000,1.44586780,28.00000000,2.55000000
0.00000000,1.45196830,28.00000000,2.55000000
0.00000000,1.45804625,28.00000000,2.55000000
0.00000000,1.46410156,28.00000000,2.55000000
0.00000000,1.47013416,28.00000000,2.55000000
0.00000000,1.47614394,28.00000000,2.55000000
0.00000000,1.48213083,28.00000000,2.55000000
0.00000000,1.48809474,28.00000000,2.55000000
0.00000000,1.49403557,28.00000000,2.55000000
0.00000000,1.49995325,28.00000000,2.55000000
0.00000000,1.50584767,28.00000000,2.55000000
0.00000000,1.51171875,28.00000000,2.55000000
0.00000000,1.51756639,28.00000000,2.55000000
0.00000000,1.52339050,28.00000000,2.55000000
0.00000000,1.52919098,28.00000000,2.55000000
0.00000000,1.53496774,28.00000000,2.55000000
